source,target,value
Pod Save America,Jon Favreau,100
Pod Save America,Tommy Vietor,10
Pod Save America,Jon Lovett,1
Pod Save America,Dan Pfeiffer,1
Dan Pfeiffer,Pod Save America,1
The Rachel Maddow Show,MSNBC,1
The Rachel Maddow Show,Rachel Maddow,1
Jon Favreau,Rachel Maddow,1
Hasan Piker,Pod Save America,1
Pod Save America,Melissa Murray,1
Pod Save America,Leah Litman,1
Pod Save America,Kate Shaw,1
Pod Save America,Michael Martinez,1
Pod Save America,Hakeem Jeffries,1
Pod Save America,Amy Klobuchar,1
Pod Save America,Pramila Jayapal,1
Pod Save America,Tara McGowan,1
Pod Save America,John Legend,1
Pod Save America,Sherrod Brown,1
Pod Save America,Hillary Clinton,1
Pod Save America,Katie Couric,1
Pod Save America,Katie Porter,1
Pod Save America,Chris Hayes,1
Pod Save America,Zooey Zephyr,1
Pod Save America,Addisu Demissie,1
Pod Save America,Raphael Warnock,1
Pod Save America,Katie Hobbs,1
Pod Save America,Faiz Shakir,
Pod Save America,Chris Christie,
Pod Save America,John Hickenlooper,
Pod Save America,Colin Allred,
Pod Save America,J.D. Scholten,
Pod Save America,Alexandria Ocasio-Cortez,
Pod Save America,Elizabeth Warren,
Pod Save America,Yasmine Hamady,
Pod Save America,Ruben Gallego,
Pod Save America,Ronald Brownstein,
Pod Save America,Maura Healey,
Pod Save America,Mandela Barnes,
Pod Save America,Alex Wagner,
Pod Save America,Mehdi Hasan,
Pod Save America,Tim Walz,
Pod Save America,Heather Boushey,
Pod Save America,Lindsay Owens,
Pod Save America,Jay Inslee,
Pod Save America,Anat Shenker-Osorio,
Pod Save America,Julián Castro,
Pod Save America,Jamie Raskin,
Pod Save America,Mark Leibovich,
Pod Save America,John F. Kelly,
Pod Save America,Annie Karni,
Pod Save America,Bee Nguyen,
Pod Save America,Roy Wood Jr.,
Pod Save America,Kirsten Gillibrand,
Pod Save America,Jake Tapper,
Pod Save America,Andrew Yang,
Pod Save America,Michael Bennet,
Pod Save America,Alex Garland,
Pod Save America,Cody Keenan,
Pod Save America,Bernie Sanders,
Pod Save America,Jen Psaki,
Pod Save America,Liz Cheney,
Pod Save America,Mallory McMorrow,
Pod Save America,Chenjerai Kumanyika,
Pod Save America,Shaniqua McClendon,
Pod Save America,Cory Booker,
Pod Save America,Jennifer Palmieri,
Pod Save America,Mike Birbiglia,
Pod Save America,Amy Walter,
Pod Save America,Vivek Ramaswamy,
Pod Save America,Marianne Williamson,
Pod Save America,Joe Biden,
Pod Save America,Heather McGhee,
Pod Save America,Mike Isaac,
Pod Save America,Brian Wallach,
Pod Save America,Steve Bullock,
Pod Save America,Adam Kinzinger,
Pod Save America,Zoë Schiffer,
Pod Save America,John Fetterman,
Pod Save America,José Andrés,
Pod Save America,Symone Sanders,
Pod Save America,Chasten Buttigieg,
Pod Save America,Stacey Abrams,
Pod Save America,Pete Buttigieg,
Pod Save America,Norman Eisen,
Pod Save America,Tim Miller,
Pod Save America,Priyanka Aribindi,
Pod Save America,Brian Beutler,
Pod Save America,Annie Lowrey,
Pod Save America,Ben Wikler,
Pod Save America,Dara Lind,
Pod Save America,Mazie Hirono,
Pod Save America,Sarah Longwell,
